# Experimental Run Sat Nov 17 15:41:16 CET 2018;
Best Score,Run Time Milliseconds,Total Evaluations;
7422.0,32,22036;
7089.0,62,28552;
7182.0,31,26963;
7323.0,47,27799;
7434.0,47,26667;
7292.0,31,20798;
7365.0,32,35449;
7004.0,31,25705;
7273.0,47,37404;
7332.0,31,21684;
7292.0,31,22197;
7571.0,31,25465;
7138.0,16,23102;
7086.0,31,26757;
7535.0,32,23241;
7285.0,31,24621;
7447.0,31,27744;
7713.0,31,20875;
7051.0,32,27413;
7016.0,46,34337;
7016.0,32,28924;
7515.0,31,26410;
7041.0,31,30223;
7004.0,47,24626;
7275.0,47,31766;
7824.0,16,21733;
6980.0,31,26979;
7002.0,47,39783;
8370.0,47,24209;
7318.0,47,33026;
7131.0,47,22409;
7041.0,31,30581;
7488.0,31,27819;
7186.0,32,25757;
7016.0,47,30204;
7226.0,46,47137;
7036.0,32,24142;
7205.0,31,28556;
7352.0,31,26196;
7083.0,31,32583;
7542.0,31,19603;
7471.0,32,27351;
6979.0,31,28733;
6971.0,31,23205;
7288.0,31,25472;
7036.0,32,29531;
7059.0,31,25511;
7028.0,31,29564;
7580.0,31,24595;
7086.0,47,41250;
7139.0,47,30559;
7349.0,47,25001;
7308.0,31,24862;
7136.0,31,28430;
7327.0,32,25674;
7131.0,47,30204;
7116.0,31,28416;
7158.0,31,24358;
7371.0,31,27141;
7456.0,32,25732;
7445.0,31,23904;
7391.0,31,24975;
6980.0,31,30309;
7315.0,32,21309;
7108.0,46,37402;
8182.0,16,21873;
7265.0,31,25716;
7311.0,31,19489;
7238.0,32,29557;
7059.0,47,33785;
7352.0,31,27460;
7291.0,31,23317;
7024.0,63,36136;
7134.0,31,28822;
7036.0,47,31854;
7666.0,31,23911;
7286.0,16,22576;
7398.0,31,27681;
7487.0,47,30208;
7119.0,31,24523;
7263.0,62,29864;
7134.0,32,31356;
7174.0,31,25528;
8290.0,31,21307;
7221.0,31,23830;
7157.0,16,23571;
8107.0,47,31343;
7443.0,31,24662;
7036.0,31,30375;
7365.0,32,20532;
7041.0,31,30775;
6993.0,47,34975;
7086.0,47,38286;
7134.0,15,21107;
7356.0,32,28745;
7390.0,31,26652;
7409.0,31,26459;
7361.0,31,22896;
7429.0,32,30219;
6975.0,46,29809;
7442.0,32,33604;
8398.0,47,29211;
7008.0,31,32311;
7181.0,31,26131;
7404.0,47,40445;
7139.0,47,37351;
7059.0,31,27207;
7051.0,31,27945;
6980.0,32,27139;
7365.0,31,20580;
7047.0,31,25389;
6971.0,31,25680;
7172.0,32,25776;
7341.0,15,22605;
7115.0,31,25229;
7368.0,47,34404;
7205.0,32,22851;
7384.0,31,24451;
7180.0,31,32505;
7184.0,31,21860;
7131.0,47,42058;
7456.0,31,24261;
6980.0,32,28746;
7436.0,31,21947;
8357.0,16,21744;
7278.0,16,23579;
7154.0,47,30540;
7255.0,31,29841;
7287.0,31,33067;
6901.0,47,30357;
7322.0,16,21278;
7495.0,47,28431;
7168.0,31,28925;
7328.0,31,24107;
7449.0,16,23090;
7135.0,31,21478;
7349.0,31,25443;
7298.0,31,24850;
7290.0,32,29716;
7002.0,47,34706;
7255.0,46,24979;
8096.0,47,32673;
7361.0,32,23478;
7407.0,15,21138;
7471.0,47,33024;
7472.0,31,23331;
7415.0,32,26486;
7456.0,31,25999;
7214.0,31,24379;
7423.0,31,24127;
8383.0,32,33585;
8526.0,31,21066;
7036.0,31,26151;
7662.0,16,21858;
7134.0,47,28922;
6988.0,31,31742;
7425.0,31,27793;
7193.0,31,24180;
8484.0,47,21806;
7131.0,47,27846;
7150.0,31,35589;
7495.0,32,21080;
7180.0,31,21602;
7008.0,31,26684;
7263.0,31,24675;
7237.0,32,26660;
7162.0,46,32080;
7356.0,47,32364;
6901.0,32,27931;
7440.0,16,24083;
7450.0,31,22842;
8256.0,31,26810;
7087.0,32,27061;
7205.0,46,32403;
7321.0,32,33888;
7230.0,31,22374;
7213.0,31,24842;
7832.0,16,18405;
7309.0,31,25888;
8334.0,47,35571;
7276.0,47,45306;
7328.0,31,23350;
7247.0,47,23154;
7024.0,62,39429;
6988.0,16,22663;
7258.0,47,37846;
7273.0,46,25422;
7335.0,32,27264;
7024.0,31,25032;
7479.0,31,21297;
7028.0,47,21673;
7297.0,31,25266;
7008.0,31,29060;
7263.0,47,43872;
7126.0,32,26693;
7059.0,46,35192;
7311.0,32,25875;
7200.0,31,23337;
7239.0,16,20262;
7118.0,46,32413;
7287.0,32,26949;
6980.0,31,26530;
7132.0,31,30755;
7132.0,47,37336;
7534.0,31,25266;
7099.0,32,30310;
7220.0,31,26151;
7461.0,31,24228;
7047.0,47,31223;
7016.0,31,35081;
7352.0,31,21541;
7324.0,47,26795;
7601.0,47,25400;
7586.0,31,25290;
7471.0,32,27166;
7004.0,31,30712;
7041.0,47,36859;
8282.0,31,35426;
6979.0,47,29838;
7152.0,47,37650;
7134.0,31,37257;
7278.0,47,28000;
7014.0,47,25417;
7681.0,31,23233;
7098.0,47,33119;
7234.0,16,22040;
7099.0,31,27688;
7155.0,31,24000;
8390.0,31,22554;
7173.0,47,42188;
7008.0,47,37672;
7230.0,31,32083;
7059.0,31,34324;
7417.0,31,19812;
7485.0,32,25249;
7311.0,15,22476;
7070.0,32,28541;
7139.0,46,28671;
7008.0,47,29353;
8250.0,47,34311;
7087.0,31,29521;
7047.0,47,27236;
7428.0,32,32893;
7321.0,31,27964;
8245.0,47,36087;
6901.0,31,24842;
7051.0,31,26693;
7271.0,31,27243;
6975.0,32,29015;
7432.0,31,21730;
7372.0,16,19624;
7131.0,46,34845;
7173.0,32,27524;
7016.0,47,34493;
7349.0,31,31492;
7036.0,47,29485;
6971.0,15,25998;
7008.0,32,21355;
7008.0,31,27204;
7205.0,62,28161;
7341.0,32,24997;
7371.0,31,29954;
7069.0,47,36070;
7089.0,15,21641;
7099.0,47,31827;
7313.0,31,25119;
8282.0,16,25800;
7126.0,15,24606;
7345.0,32,23743;
7387.0,31,28456;
7668.0,31,21228;
8397.0,47,34734;
8100.0,31,22126;
7573.0,16,24347;
7024.0,47,28998;
7444.0,15,24397;
7152.0,32,25439;
8369.0,31,20514;
7276.0,47,27212;
7132.0,47,38448;
7258.0,31,24649;
7477.0,31,29267;
7000.0,31,23567;
7435.0,32,30046;
7446.0,31,19246;
7180.0,31,26391;
7260.0,16,21283;
7455.0,31,23100;
7000.0,31,25202;
7024.0,47,34587;
7138.0,31,25606;
7008.0,32,30812;
7197.0,46,31552;
7424.0,16,21532;
7163.0,47,31474;
7034.0,16,24391;
7174.0,31,26784;
7574.0,16,20763;
7136.0,31,29077;
7078.0,32,25607;
7028.0,46,31006;
7179.0,32,26826;
6993.0,31,32343;
7447.0,31,29558;
7047.0,47,31284;
7213.0,31,27211;
7213.0,32,32966;
7131.0,46,28323;
7269.0,16,20544;
8499.0,31,24122;
7435.0,32,24203;
7269.0,31,23440;
7242.0,31,29971;
7408.0,31,25103;
7036.0,32,22802;
8437.0,15,21680;
7008.0,63,27684;
7365.0,47,30598;
7036.0,31,28418;
7115.0,31,31663;
7002.0,31,24752;
6975.0,47,32495;
6979.0,31,30776;
7002.0,32,25193;
7024.0,31,30493;
7024.0,31,21017;
7241.0,31,26554;
7086.0,32,25223;
7255.0,46,38418;
7273.0,63,33597;
7038.0,47,31217;
7472.0,15,18740;
7313.0,32,27794;
7051.0,47,30836;
7114.0,31,31264;
7179.0,31,24082;
7315.0,31,31567;
7132.0,47,30981;
7467.0,16,23636;
7309.0,47,23985;
7031.0,62,38006;
7486.0,31,24360;
7107.0,47,41260;
7172.0,47,35246;
7169.0,31,30363;
7316.0,32,21648;
6993.0,31,34902;
7269.0,31,20547;
7127.0,31,29384;
7197.0,47,30898;
7059.0,32,25135;
7313.0,31,24955;
7170.0,31,26223;
7024.0,31,29217;
7263.0,32,25608;
